GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexReader.IndexInfo,9,0,0,0,4,0,1,0,1,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,BtiTableWriter,220,0,4,0,44,0,11,0,9,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,RowIndexWriter,134,0,10,0,30,0,13,0,8,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.io.sstable.format.bti,SSTableReversedIterator.ReverseIndexedReader,120,0,8,0,29,0,9,0,5,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,IndexEntry,18,0,0,0,7,0,1,0,1,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CollatedViewIndexBuilder,125,0,12,0,32,0,10,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndex,944,0,88,0,190,0,105,0,56,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexSearcher,291,0,22,0,58,0,19,0,8,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndex.new Index.Indexer() {...},333,0,48,0,67,0,39,0,15,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions,56,0,2,0,12,0,5,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},40,0,2,0,6,0,6,0,5,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},9,0,0,0,2,0,2,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},83,0,8,0,13,0,11,0,6,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},57,0,4,0,10,0,5,0,3,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},54,0,6,0,9,0,9,0,5,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},11,0,0,0,3,0,3,0,3,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.internal,CassandraIndexFunctions.new CassandraIndexFunctions() {...},9,0,0,0,2,0,2,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,NumericValuesMeta,25,0,0,0,9,0,2,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,BlockPackedWriter,107,0,14,0,19,0,9,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,AbstractBlockPackedReader,364,0,46,0,68,0,30,0,7,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,MonotonicBlockPackedReader.new AbstractBlockPackedReader() {...},39,0,0,0,5,0,4,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,MonotonicBlockPackedReader,135,0,4,0,27,0,6,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,BlockPackedReader.new AbstractBlockPackedReader() {...},30,0,0,0,5,0,4,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,MonotonicBlockPackedWriter,145,0,12,0,26,0,10,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,AbstractBlockPackedWriter,144,0,12,0,35,0,13,0,7,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,BlockPackedReader,148,0,6,0,30,0,6,0,3,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.index.sai.disk.v1.bitpack,NumericValuesWriter,89,0,4,0,21,0,6,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ReplicaFilteringProtection,291,0,20,0,60,0,19,0,9,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AbstractReadExecutor,116,438,18,46,16,96,17,37,2,20
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DataResolver,184,268,16,18,33,49,22,19,10,14
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AbstractReadExecutor.AlwaysSpeculatingReadExecutor,31,0,2,0,8,0,5,0,4,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ShortReadRowsProtection,127,67,16,4,22,19,11,4,1,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ShortReadPartitionsProtection,204,101,17,5,31,20,14,4,3,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,SpeculativeRetryPolicy.Kind,0,54,0,0,0,2,0,1,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,HybridSpeculativeRetryPolicy,212,0,18,0,39,0,18,0,9,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ShortReadProtection,3,38,0,2,1,9,1,2,1,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DataResolver.ResolveContext,0,48,1,5,0,7,1,5,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DataResolver.new UnfilteredPartitionIterators.MergeListener() {...},15,0,0,0,4,0,3,0,3,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DataResolver.new UnfilteredPartitionIterators.MergeListener() {...},0,38,1,1,0,7,1,3,0,3
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,PercentileSpeculativeRetryPolicy,38,123,4,8,4,25,4,12,0,10
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,AlwaysSpeculativeRetryPolicy,19,9,0,0,5,2,5,2,5,2
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DigestResolver.DigestResolverDebugResult,12,0,0,0,5,0,1,0,1,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ReplicaFilteringProtection.PartitionBuilder.new UnfilteredRowIterator() {...},61,0,2,0,12,0,12,0,11,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,FixedSpeculativeRetryPolicy,106,0,6,0,20,0,12,0,9,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,SpeculativeRetryPolicy,30,14,6,4,6,5,4,2,0,1
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,HybridSpeculativeRetryPolicy.Function,35,0,2,0,3,0,3,0,2,0
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,DataResolver.2.new UnfilteredRowIterators.MergeListener() {...},208,29,12,0,27,7,10,4,4,4
JaCoCo Cassandara Coverage Report,org.apache.cassandra.service.reads,ReplicaFilteringProtection.new UnfilteredPartitionIterator() {...},58,0,6,0,10,0,9,0,6,0
